text,klass
Le pedí a mi persona favorita de toda España que me dijera cómo ha sobrellevado el encierro _EMO️ Síganlo en IG porque es un chingón 🔥 _URL,❤
Neta que el ejercicio en casa alegra y da energía 🤪_EMO️,❤
"La última antes de la #CuarentenaCoronavirus... Pumas Aragón 2k20 🏈. Ya extraño, ya quiero regresar _EMO _URL",😭
"Uno no es pendejo porque quiera, este pedo es una condición _EMO",🥺
_USR Haz una cadena de ayuda para que todos me ayuden a saber cómo se llama _EMO,🥺
_USR Tienes que ver la pelicula Milagro en la celda 7 ❣️_EMO,😭
"Mario Bautista, es un ser lleno de luz, tiene un gran corazón _EMO️",❤
Yo solo vine a decirles que así dobló y guardo mis camisas _EMO️ _URL,❤
"Mario Bautista es una gran persona, tiene un corazón tan bonito, bau es un angelito, se merece lo mejor del mundo, siempre es positivo, y nos aconseja sobre la vida, nos inspira a luchar por lo que queremos, el enserio quiere a sus bautisters _EMO️✨ STAN MARIO B _URL",❤
"Si no le gusta Shrek déjala hermano , ella no es para ti , sabes no es humana por que a todos nos gusta Shrek_EMO️",❤
Me encantó escucharlo hablar en español y decir “Gracias por el apoyo” _EMO️ De verdad que ya me urge terminar de ver la 3ra temporada! Son los mejores _USR _USR 😍 _URL,❤
"_USR No voy a poder dormir tranquila, si no me das las buenas noches bebé _EMO #WeLoveYouJoel",😭
"Por mí se puede acabar el mundo mañana, de todos modos mi cumpleaños siempre cae en vacaciones _EMO",🥺
Al cabos que aquí encerrada nadie me ve llorar. 😢_EMO️,❤
"Estaba pensando y en diciembre tenía todo bien planeado para salir con mi ropa perrona y el ss no me dejo, hice un pedido en sjejen para semana Santa y nel se cancela por el covid, cada vez siento que no saldré del ss _EMO",🥺
Mañana les voy a responder a absolutamente todos con los que tengo mensaje pendiente _EMO,🥺
_USR Hello there my name is mariana please follow me on twitter_EMO,😊
Ahora si pinche _USR me hiciste 😢 🤧_EMO #MilagroEnLaCelda7 _URL,😭
Me erizo cada vez que escucho esta versión 😍_EMO️ _URL,❤
"Nunca volveré a ver esa película, me llega a mis fibra más sensibles. _EMO💔",😭
"Cuando _USR dijo: “todavía yo te quiero, pero sé que es un error, porque tú ya no me quieres y sin ti me va mejor”, i really feel that shit. _EMO💔",🥺
_USR I love you Rest 😴🥱😪(thanks 😔💔_EMO🇲🇽for listening to me),🥺
Le pedí a mi persona favorita de toda España que me dijera cómo ha sobrellevado el encierro _EMO️ Síganlo en IG porque es un chingón 🔥 _URL,❤
¡Por fin ganamos en la Liga Rojinegra! Después de comenzar con 3 derrotas seguidas. _EMO _URL,🥺
_USR Voy a hacer algo parecido para dejar de hacer corajes _EMO😓,🥺
"Mario Bautista te motiva dia con dia, te ayuda a superarte _EMO👉🏻👈🏻",🥺
"Estoy profundamente enamorado, muero lentamente por vivir está perra situación de cuarentena, pero sé que todo esto terminará pronto, y cuando eso suceda, no me importa qué tenga que dejar de hacer, iré a verlo, lo abrazaré por todo este tiempo que hemos estado lejos. Lo amo. _EMO️",❤
_USR Vieras lo tanto q he eh llegado a amar mi amor es inexplicable lo tanto q te amo mi amor siemroe te amare con esta locura la cual te amo 😍😍_EMO😱😱🤪🥰🥰💕💕💕💕💕 _URL,🥺
_USR •hot cakes de plátano y avena 😍 (Modo fitness) •alitas (al mojo de ajo) 😍 •clericó 😍 •un pez frito _EMO •jarra de agua de limon con romero 😅 Listo: Los amigos te los debo,🥺
"Estoy harta de esto que se llama ""tener que fingir que no tengo ganas de coger, para que mis propios amigos no me juzguen de perra caliente"" JAJAJAJAJAJAJAJAJAJAJA _EMO",🥺
"_USR Increíble elección, JAJAJ. Yo puse dos. Una de Bad Bunny y otra de reggaetón sucio _EMO",🥺
"Y todo el mundo, te puede decir que tú en verdad, me gustas y me encantaría poder ser más, qué tu amigo en la ciudad, ser tu amante en la vida y más... 👻_EMO",🥺
"Lo mismo ocurrió el domingo, cuando escuchó que le dije a mis padres que compraras helado en ma despensa (se que no es vital, pero tenía antojo). Después de eso, pago dos helados para que no tuviéramos antojo. Y cuando le agradecí solo pude ver sus lágrimas. _EMO",😭
_USR Siiii ya es el miedo que traemos todos. Gracias!!! _EMO,😊
"⚠️ La #OMS acaba de poner en marcha una página web que ubica tu posición y de acuerdo a las estadísticas del #COVID_19, te dice que tan seguro es salir de tu casa. Les dejo el link, consulten por favor: _URL cuidense mucho amigos. _EMO️",❤
"Pues ya en abril empiezo las pruebas de mi cerveza, igual tendremos mucho tiempo libre _EMO️",❤
😳_EMO_USR _USR _USR _USR _USR _USR _USR _USR _USR _USR _USR _USR _USR _USR _USR _USR _USR _USR _USR _USR _USR,😭
Alch yo lo amé desde el principio y mi hermana está de testigo! _EMO,🥺
"_USR Ay, pello, ilusa. Te dejé ganar, por que me das lástima. Beso en el anastacio. _EMO",❤
_USR _USR _USR like mga pages nila guys. Pls _EMO️ love kaau nko ilang products,❤
_USR Jajaja me mama ver los bmw y cualquier derivado de los srt _EMO,🥺
Hace un año me la pase yendo ala playa este año no va a ser así chale_EMO,🥺
_USR porque en este tiempo de Crisis nos quitaste la que se avecina _EMO ahora los que no estamos en territorio europeo no podemos reproducirla _USR,😭
_USR this game is so good _EMO️ instantly became one of my favorite rhythm games for mobile,❤
_USR Yo siempre compro más zapatos que ropa... creo que soy la única rara_EMO jaja,🥺
"Mi rutina de skin care, me ha hecho Justicia ... 🌈✨_EMO️ _URL",❤
"“Recuerda, que aún están por venir tiempos mejores” _EMO️ #lavitanonsiferma Buenas noches, twitter. ✌🏼 _URL",❤
"_USR Ohhh que triste, me acuerdo del dragón y la espuma _EMO _URL",😭
ayúdenme a buscar depa y cuando pase la contingencia armamos una peda mamalona ahí _EMO,🥺
"Neta me da coraje ver a todos normales sin ser responsables sobre lo que puede llevar a cabo una mala acción! Al seguir saliendo y no quedarse en sus casas, es horrible pero me siento feliz de saber que lo estoy haciendo por cuidar a mi familia. PD. Extraño mucho a mi novio _EMO😫",🥺
No es lo mismo cocinar en casa que cocinar en el restaurante _EMO #lovemyjob #cheflife,🥺
"_USR _USR _USR _USR _USR _USR _USR _USR _USR _USR Claro amigo, Hugo el mejor ya lo dijo Rafita jeje abrazos y a quedarse en casa 🤗_EMO",😊
El poder salir de perdido a manejar hacia ningún lugar solo salir de la casa con música alto me dio una paz y tranquilidad tan bonita _EMO,🥺
"Bueno, al menos alguien me va a querer de 30 _EMO jaja Quién le dio mi número?! 😂 _URL",🥺
"_USR Y si me quedo afuera de la reja_EMO, como con la señora de las vacunas?😂",🥺
¿Se imaginan un mundo sin música en vivo? ...Aaayñ _EMO 😷 😔 _URL,🥺
"Si alguna vez hablaste mal de mi, me mentiste o invéntaste algún chisme., Te perdono y te deseo todo el amor del mundo, PORQUE SE CUANTO TE HACE FALTA.🧠_EMO️ _URL",❤
Armando un texto para esa persona que pronto estará cuidándome desde lo alto.. _EMO️✍️,❤
Lloro con todo lo que escribimos aysi jaja MARIO BAUTISTAAAA JAJAJA 😳_EMO🙏🏻,🥺
"Que hermosa película acabo de ver, cuanta imaginación, por eso #StudioGhibli es mi favorito 🙌_EMO️ “El regreso del gato”😺 #BuenasNoches #ghibli #MovieNightMonday #gatos _URL",❤
_USR Si sigues dandole retuit a esta cjajara me vas a perder _EMO😫 #Unfollow 😂,😭
Necesitooooo alguien con quien hacer maratón de gossip girl._EMO✨🖤,🥺
"Los que más me preocupan de este virus son mis panis, mi abuela, mis papás y mi hermano asmático _EMO💔",🥺
"NO P**TAS ENTIENDO por qué cuando mi mamá pone una película random de Netflix para verla las dos, ¡le atina a las mas fuckin’ tristes & siempre en historias de amor donde el vato se muere! Termino yéndome a dormir llorando _EMO Solo espero no sea ninguna señal que me mato yo alv.",😭
"Pero creo que lo que más me voló la cabeza fue ver un cuerpo no hegemónico bailando flamenco y su duende. No sé quién eras, pero muchas gracias. Me diste lo más bello de mi vida. _EMO️",❤
yop y mi constante duda de “1d tendrá un chat dónde platiquen entre ellos?” and the world may never know_EMO,🥺
"Aunque fue un momento muy enriquecedor ver #interviewwiththevampire y mostrar todo mi fangirleo con mi hermana, esa película me llena de vida, es un gran antidepresivo _EMO️ _URL",❤
"Cuentas que dan risa, dan pena y vergüenza, que sirven para eso, para entretenerse un rato. _EMO️ ahí quedaron.",❤
"_USR Aaaaaaaiñ es de que, Nancys!!!!!! Cuándo salí de mi hogar, llegamos con la yaya, ahí fueron como 6 años, me Regresé 2 a morelos y ahorita llevo como 6 con mi hermanito _EMO que ya casi lo está por eso lo digo",😭
"_USR Aaaaaaaiñ es de que, Nancys!!!!!! Cuándo salí de mi hogar, llegamos con la yaya, ahí fueron como 6 años, me Regresé 2 a morelos y ahorita llevo como 6 con mi hermanito _EMO que ya casi no está por eso lo digo",😭
"Nunca es un mal día para seguir haciendo lloracion por Wonho y por mis otros 6 bebés, mbb eres fuerte no te rindas _EMO",😭
Estoy HSPTM de las clases en linea! YA ACABATE SEMANA PLIS _EMO🙏🏻,😭
"A veces es difícil la distancia, pero cuando estamos juntos reafirmo cada segundo cuanto lo quiero._EMO️🌚",❤
"Cada día siento que mis boobs crecen más, ya por favor _EMO",😭
"Con todas mis locuras, dramas y mi carácter, me gusta como soy _EMO💕",😊
"A veces trato de hacer nuevos amiguitos, peeeero no entiendo la razón de que sean súper mamones, soy buena onda _EMO",🥺
Amo mucho a la mujer en la que me estoy convirtiendo a pesar de mis errores y mis malos ratos _EMO💕,😊
_USR Jajaja distintos ojos ven una misma situación. _EMO😘😘,😊
"Abro hilo de las cosas/personas que más extraño en esta cuarentena (mi familia esta conmigo obvio), salir con mis amigas, ver a mi novio, divertirme, hasta ir a la escuela _EMO #lifebeforecoronavirus _URL",🥺
Hermano realmente está mujer es mi todo en la vida 🤴🏾_EMO️ _URL,❤
_USR Jajaja yo estaba a punto de compartirte mi rutina con videos jaja _EMO😂😆😝🤣,😭
"Qué onda, yo hasta le hice un postre y él llega en su modo patan_EMO😔",🥺
_USR Wey no puedo con el insomnio JAJAJA yo me la paso durmiéndome súper tarde todos los días _EMO,😭
Creo que ya van 14 dias que cerraron los teibols 😢_EMO💔😨🙃,🥺
tengo unos doritos flamming hoy en mi buro y no se si comerlos ondejarmos existir en mi buro ayudaaa!_EMO,🥺
"Madre no es la que engendra, madre es la que vamos a valer todos económicamente en Abril _EMO",😭
"Yo sé que estamos en cuarentena y qué no debemos salir o vernos con personas, pero yo vivo sola, y está muy cabron no hablar con nadie en todo el día, por varios días, así que entiéndanme plisito :( ☹️_EMO",🥺
tengo unos doritos flamming hot en mi buro y no se si comerlos o dejarlos existir ahi en mi buro jejelp_EMO,🥺
Sigo sin creerlo :( El mejor del mundo no pudo haber dicho eso _EMO,😭
"Estatura: 1.69 Talla de zapato: 26 Signo: Tauro ♉️ Tatuajes: 0 Piercings: 1 Color fav: Negro, dorado, blanco... un chingo pues 🥴 Bebida fav: Frappe de Matcha 🍵 (por ahora...) Licor: Cerveza y tequila _EMO️👌🏼 4 tags: _USR _USR _USR _USR",❤
"Estoy muy feliz con esta coreo de hoy, estaba muerto pero la pasión siempre puede más _EMO️ _URL",❤
"Me ha costado muchos días de trabajo duro, pero por fin me compre mi #NintendoSwich _EMO _URL",❤
7 horotas para la primer parte del juego... me encantas RE2 _EMO️🔥,❤
Traigo cero sueño y me tengo que levantar temprano para dar una clase en línea a las 7 am _EMO,😭
"Niña bonita, sonrisa de princesa. 😍 Risa perfecta, tan simple y tan coqueta por más que Dios la esconda, la delata su bellaza. Y me preguntón si yo le cantó esta canción, te digo lo que siento ¿que dirías si escoges una estrella? Vuelo alto y voy por ella. _EMO",😊
_USR Uuuuuf ya me calme solo me vi como 12 capítulos más. _EMO,🥺
"Estoy agüitada por todo esto del coronavirus. Empiezo a tener ansiedad. Diosito ya aprendimos, ya ayúdanos. _EMO",😭
¿Se imaginan un mundo sin música en vivo? ...Aaayñ _EMO 😔 😷 #QuedateEnCasaYa 🙏🏻 _URL,🥺
"Por la cuarentena, no podré ver a mi sobrina en semanas; hace ratito hicimos FaceTime, cantamos todo el tiempo y no quería colgar. De verdad es que ser su tía es lo mejor que me ha pasado en la vida _EMO😍",🥺
_USR JAJAJAJAJA lo mismo le dije al Migui jaja aquí los tengo _EMO️👅🤤,❤
Hoy es el cumple años de dos personas que amo muchísimo mi hermano y _USR _EMO️🎉,❤
"Ahora sí uñas con acrílico y gelish, es hora de demostrar de qué estamos hechas, un mes no es nada 🙌_EMO si aguantamos.",😭
_USR Muchas gracias _EMO Estos son los detalles que nos hacen el día 💕,😊
La voy a reproducir hasta que me quede dormida jaja._EMO,🥺
no puedo con lo bebés que estaban en la primer temporada_EMO,🥺
"Mi primera noche sin Jael, tal vez tarde mucho en dejarla dormir sin mi, en su propia cama pero la extraño mucho😰_EMO",😭
"Siento que cuando llegue lo que pedí por internet habrá de dos, mis papás me regañaran y seguramente se burlaran de lo que pedí _EMO✨",🥺
"No soy un medio de política o noticias (bueno mi segmento original no lo es... soy de espectáculos); pero me da mucho gusto que mi página ""XSM"" sea un canal de información e informe a miles de Yucatecos.🙏_EMO🔄 Poco a poco seguimos creciendo. _URL",❤
"Y también por aquí... ¡Felicidades al chico con los ojos y la sonrisa más bonita del mundo! Felices 23, JTM _EMO️🦋✨ _URL",❤
"Y también por aquí... ¡Felicidades al chico con la mirada y la sonrisa más bonita del mundo! Felices 23, JTM _EMO️🦋✨ _URL",❤
"Una semana sin ir al gimnasio y mis niveles de ansiedad de están elevando cabrón, voy a tener que cargar piedras de sascab del cerro cercano _EMO",😭
"MANDA UN ""🦠"" Y TE DOY 8 MOTIVOS PARA COLOCAR LA INICIAL DE ALGUIEN. 🤡1. J 😋2. LAAV 🐝 3. M 🤞🏻 4. J _EMO5. MA 🦋6.S 😌 7.J 🤡8. M",🥺
Estábamos jugando turista y le quede a deber 80 mil pesos a Justin jaja _EMO,🥺
"hoy mis bebés cumplen 1 año, y estoy muy feliz pq nunca pensé tenerlos a estas alturas, los amo mucho 🤧🤧💖_EMO _URL",🥺
Quiero gritarte que te quiero hasta perder la voz...._EMO️,❤
Qué onda con mi #ansiedad que tengo hasta miedo de dormirme ???🤦🏻‍♀️_EMO🤔☹️,🥺
Pero pues que me perdonen pero me dio mucha ansiedad hoy y como regularmente la manera en que la controlo es saliendo de casa y eso no es opción ahorita mi manera de sacarla fue comprando cositas en la web _EMO,🥺
Estaba haciendo videollamada con mis amigas Y ELLAS ESTÁN EN MANGA CORTA y yo con el calentón perdido _EMO,🥺
"Mañana me tengo que despertar a Las 6:40 para ir a Culiacán, no quieroooo_EMO",😭
"Ojalá el #coronavirus hubiera llegado en marzo pero de 1995, así #Selena estaría en #cuarentena dentro de su casa y #YolandaSaldivar no la hubiera matado 💔_EMO🥀 #Selena25 #SelenaQuintanilla #25AñosSinSelena #COVID #QuedateEnCasaYa #SelenaXXV _URL",😭
Amigas extraño ir a la playa _EMO😣 pinche virus cagazon alv,🥺
"_USR _USR _USR En definitiva, la mejor y más rica 🔥_EMO️",❤
_USR Malotes son otros que desgraciaron a Venezuela pero van a terminar presos! _EMO _URL,😊
"En La Perlita 🙅‍♂️cerramos🙅‍♀️nuestras puertas de manera ⏳temporal_EMO 😲🐠Nuestra Pescadería laborará solo jueves, viernes, sábado y domingo de 1️⃣0️⃣AM a 4️⃣PM🐠 #LaPerlita #IslaCozumel #Mariscos #Pescado #Volveremos _URL",🥺
Seguimos esperando que alguien nos despierte de esta pesadilla _EMO,🥺
Ahora sí que sus besos podrían matarme. _EMO #Covid_19,😭
_USR Tengo ganas de ir al gimnasio a las dos Mega reaaaaaaaal! _EMO,😭
"_USR Fer, me la paso pensando en que estés bien tú y tu familia. Cuídate mucho por favor y dime que pasando todo esto te veré aquí en MTY o en algún otro lado y nos daremos un abrazo largo!! Te quiero mucho! Bonita noche 🤗_EMO️💕😍",❤
Acabo de terminar mi quehacer de señora... Ahora necesito que alguien me pinté mis uñas _EMO _URL,😭
Aún no veo el final de la 3ra temporada de la serie the good doctor y ya estoy llorando por las fotos que comparte en Instagram _USR _EMO,🥺
"Que bonitos mensajes me han enviado _EMO️, los recibo y los guardo en mi corazóncito",❤
¿Me estoy enamorado de quien podría romperme el corazón? _EMO,🥺
Hoy empieza el mes 4/20 y por el pinche virus culero no podré fumar weed en un buen rato... Gracias por esto pinche Covid 19 vete alv _EMO,😭
ya alch les voy a decir quien es mi crush y es el daniel montoya _EMO👌🏻,🥺
Pray for las plantitas que compre para el jardín porque hoy una de ellas estaba muy mal_EMO,🥺
Porque no puedo ser tan fotogénico como mis amixes en sus fotos _EMO,🥺
"Luis y yo inauguramos nuestra casa e hicimos un pollito asado y fue lo mejor!!!!! Realmente me sentí tan bendecida, algo bueno entre tantas cosas que están pasando_EMO️🙏🏼🥰",❤
"Ya vi todas las peliculas de Harry Potter y Animales Fantasticos, ahora que sigue??? Aiuda_EMO",🥺
_USR _USR Jajaja ya me harte de mostrarme sin ceja enas videollamadas 🙄_EMO,😭
Lleva sonando una alarma más de 2 horas... ¿QUE MAS QUIERES DE MI 2020? _EMO,😭
Y si compro un trampolín grande y lo pongo en el patio y ahí pasamos la cuarentena pato y yo_EMO,🥺
"25 años de la partida de un bellísimo angel que todo el mundo llevara por siempre en sus corazones, nuestra reina del texmex Selena🥀 No hay ningún día en el que yo no escuche o cante una canción de ella _EMO _URL",❤
"Esta quincena tardo tanto en llegar, que ya me la acabe _EMO... _URL",🥺
"No saben lo equivocada que estuve tanto tiempo del concepto de amor, hasta que llegó Hugo a cambiar mis días_EMO️ jamás deja de sorprenderme. 😍 _URL",❤
El día que deje de ver a la machi ese día voy a llorar. Lo único bueno de mi cuarentena son esas 4 horas_EMO,🥺
A nombre de _USR 53 mil gracias _EMO por su apoyo diamantes ♦️ el que sigan a johnny2iccyy es un halago enorme !! _URL _URL,😊
Espero que algún día te des cuenta de lo que estás perdiendo _EMO _URL,🥺
Ptmmmm no tengo ni tantito sueño y tengo reunión mañana a las 9 _EMO,🥺
"Hoy fue un mal, pero mal día. Ojalá todo mejore mañana. 💜_EMO (Gracias a los que estuvieron)",🥺
"Hay una canción de Ed Sjejeran que te quiero dedicar, pero no sé si sea el momento. 🤔_EMO🥰",😊
"Me identifico tanto con la canción de Hércules la de “No hablare de mi amor” hagan de cuenta yo negando que me gusta, cuando esta claramente que me derriten esos ojitos de regalo_EMO🤯",🥺
"Si alguien sabe por qué al momento de darle Share>Master File se cierra Final Cut, les pido ayuda _EMO",😭
"No importa que canción te ponga la vida, siempre se le puede bailar. _EMO",😊
¿Qué pedo con mis perros? 🙄 andan bien inquietos... ¿será que sienten mi ansiedad? _EMO,🥺
"Yo abro la boca y me piden que siga hablando, gran diferencia._EMO️",❤
Esta foto siempre la tendré muy presente en mi por que fue al ultimo concierto al que fui y dije “No puedo tener una foto con el de cerca pero por lo menos ahi se ve _USR “ _EMO _URL,🥺
_USR _USR _USR Ya sé jaja.. Quisiera volver al 2016 _EMO,🥺
_USR _USR Ya sé _EMO Estaban buenas las carreras de Mario Kart jaja.. Te cu eme 💙 Gracias por hacernos felices prestándonos tus Nintendo Ds 🤗,🥺
"Acabamos de hacer Neflix Party, algo bien. Lo más cercano que podemos estar_EMO❣️",😭
"25 años de la partida de un bellísimo angel que todo el mundo llevara por siempre en sus corazones, nuestra reina del tex-mex la hermosisima Selena🥀 No hay ningún día en el que yo no escuche o cante una canción de ella _EMO #Selena #Selena25 #Mexico _URL",❤
"_USR Si quieeeeero, quiero estar con todos mis amigos_EMO",😭
Esta cuarentena no la pude haber pasado mejor _EMO️ _URL,❤
No me gusta perder el control y ponerme nerviosa pero me gusta ponerme nerviosa por ti _EMO BITCH WHAT,🥺
"Lo mejor de esta limpieza extrema y orden absoluto es que, duermo con demasiada paz. _EMO",😊
"Y no quiero decir que antes tenía todo hecho un muladar pero, lo hacía mecánicamente y, pienso que esto de estar en casa, limpiar y ordenar todo, nos debe de servir para pensar lo que en realidad estamos haciendo allá fuera con nuestra vida. _EMO",😊
"Ya empezamos esa etapa de lo hablamos para ver qué es lo mejor, me encanta que me incluyas en tus decisiones _EMO️",❤
"Neta q feo semestre ,mi último perro semestre y no podré disfrutar a lo máximo a mis amigas 😞😞_EMO",🥺
_USR _USR Ya tuviste respuesta?? Ando igual que tu _EMO,😭
"Visita Panio _EMO️ Ubicado en Correo 29, Relox 12 y Salida a Celaya 69. #Bakery #Boulangerie #Viennoiserie #Patisserie #LevainCulture #FoodCulture #SanMigueldeAllende en Panio _URL",❤
"Acabo de ver la película #MILAGROENLACELDA7 No mames, ya no me quedan lágrimas. _EMO",😭
"_USR Yo no te leí hasta ahorita pero felicitaciones con retroactivos. Te quiero más que a un buen café, aunque si me lo tomo con vos no sabría qué decidir _EMO guerrera",❤
"Perdón, pero ame mucho este video 🥰 y la canción más _EMO️ _URL",❤
Es que tu estas tan bonita bonita bonita como ya no hay nadie_EMO,❤
"Wey, esta vez por sus ronquudos no puedo dormir _EMO y mañana tengo cita con el dentista temprano",😭
Perdón pero ame mucho este video y la canción más 🥰_EMO️ _USR _USR _URL,❤
"Mientras a mi nadie me presuma, yo le pertenezco a las miches_EMO",🥺
Creo que nunca había llorado tanto en una película como en #MILAGROENLACELDA7 _EMO es una joya de película que logra trasmitir muchas emociones y deja un gran mensaje. 100% recomendada,😭
#COMPARTE #CreaConciencia 🤝🙏_EMO La vida no es tan fácil cuando se vive al día a día y tienes que salir a buscar bocado para la familia a costa de tu vida. Hagamos conciencia y en estos días de calamidades ayudemos a nuestro prójimo. _USR _USR _USR _URL,❤
"Chsm ya me dormiré 😢, ya que no me dijeron ""Buenas noches amor de mi vida descansa, te amo"" _EMO",🥺
Me acaban de regalar este discazo #odisseo # nomamar T.T pinsjejess lloro _EMO _URL,😭
Aveces algo tan simple te deja sin aliento .. Fotografía: Montserrat Hinojosa _EMO️ #guanajuato #vintagephoto #paloma #paisajes en Guanajuato _URL,❤
Alguien explíqueme por qué no soy priyanka para estar en cuarentena encerrada con el preciosisimo de Nick _EMO,🥺
"Ni me gusta hablar de ""amor"" con los de la Fiscalía, me bajonean bien feo con sus; ""la abogacía es un ambiente de porquería"" wey, callense, los odio. _EMO",😭
Alguien me puede desear suerte para mi examen de al rato y darme las buenas noches?_EMO,🥺
Esa sensación de estar tocando y que sientan la musica es lo mejor _EMO️ _URL,❤
Te extraño demasiado pero la distancia no coopera.😪 😪🇨🇴💛💙_EMO️🇨🇴😪 _URL,❤
"Pinché día dlv, estuve en oficina desde las 12 am hasta 12 pm entregando material, todos estaban super estresados y de malas, yo estaba igual hasta que llegó mi maravilloso novio a esperarme por más de 4 horas, llevarme de cenar, agua y mucho amor para aguantar todo, lo amo😌_EMO️.",❤
"_USR 🖐🏻👊🏻 jaja yo también, acabé la que tengo que entregar mañana en la mañana, pero falta la que tengo que entregar mañana en la tarde, el miércoles en la mañana, el jueves y la del viernes jaja 🥴_EMO",🥺
"_USR No solo son fotos de momentos bonitos. Son momentos de los cuales hemos ido creciendo juntos en cada paso que damos y en cada tropiezo también, pero hemos aprendido de ellos y hemos cambiado, pero lo que nunca ha cambiado, es amarnos el uno al otro. Te amo._EMO",❤
Weno ya me voy a escuchar canciones sad para mi corazoncito roto _EMO,🥺
Solo espero que todos salgamos de esta con cada uno de los integrantes de nuestra familia intactos _EMO😢,🥺
"_USR Y si eh! Quiero lo mismo☹️ y nunca pensé decir esto, pero hasta extraño ir a la escuela, me encargaban menos tarea_EMO",🥺
"Yo creía que era puro mame los memes de tanto llorar por la película un milagro en la celda 7, pero si lloreeee muchísimo _EMO",🥺
"_USR Lo sé, yo extraño pelearme con mis amigos o decir que ya quiero salir de vacaciones jaja_EMO que tite es esto",🥺
Cómo quisiera poder volar hacia donde Tú estás 😪 🕊 ･ *ﾟ｡* ･ ﾟ*｡･ﾟ🕊｡ 🕊･｡°*. ﾟ🕊 * ｡·*･｡ ﾟ*｡*🕊･｡°*. 🕊️💛💙_EMO️🇨🇴🕊️ ° * ﾟ *.｡🕊｡* 🕊･ *ﾟ｡. *.*°･ ﾟ*｡･ﾟ🕊｡*🕊･｡°*. ﾟ🕊 ﾟ*🕊️｡*🕊･｡°*.｡*🕊･｡° _URL,❤
"Amigos, de verdad quédense en casa, yo tengo que venir a trabajar, pero realmente quisiera estar en mi casa sin salir y sin preocuparme por saber si me infecto o no _EMO😥",🥺
"Ayer entrené y comí bien .... son las 3. No puedo dormir y me estoy comiendo unas galletas con queso, maldita sea !!!! _EMO",😭
"#tbt_EMO️ 2beatornot2beat #mondaysinmyhouse #thanksforthesupport _USR sakuraderukira #housemusic #techhousemusic #techno👽 #oldiesmusic en Mexico City, Mexico _URL",❤
JAJAJAJA SACATE! Kien le dijo que sabe inyectar? _EMO,🥺
"Fist time back in 12 years 🇲🇽💕 CHECK OUT MY NEW YOUTUBE VIDEO _URL Subscribe, like and Share _EMO👉🏽👈🏽💕 P.s. Extraño la Peda _URL",🥺
"Regresenme al 2018, ese habia sido mi mejor año jaja_EMO",🥺
"_USR Pues yo al contrario!!!....soy tu ruco fan, Buenfil!!_EMO️",❤
"malas, todo pasa por algo. Dure como menos de 1 año traumada con ese niño. Y aquí sigo esperando algún día hablarle, jaja o que lea esto. Saludos si lo ves alguna vez escríbeme jaja _EMO (hace poquito lo vi esperando el camión afuera de mi escuela) sigue igual el condenado. Bye",😊
